Participant,Ticks,Device,Method,Size,Trial,Capture,TimeMillis,Offset,Angle,CaptureRatio,MissRatio
P8,635139759564474801,Normal,Clipped,Quarter,0,2,5640.3226,.1144,1.3,2.2538,0
P8,635139759674271081,Normal,Clipped,Quarter,1,0,9915.5672,0,4.6727,1.8251,0
P8,635139759835750317,Normal,Clipped,Quarter,1,1,15043.8605,.3073,1.6135,2.4047,0
P8,635139760000549743,Normal,Clipped,Quarter,1,2,15459.8843,.2695,9.2103,2.5213,0
P8,635139760093345050,Normal,Clipped,Quarter,2,0,8439.4827,6.71,1.2107,1.772,0
P8,635139760267264998,Normal,Clipped,Quarter,2,1,16654.9526,6.46,2.9775,1.5184,0
P8,635139760391342095,Normal,Clipped,Quarter,2,2,11470.6561,9.9599,1.6609,2.0874,0
P9,635139907349155951,Normal,Clipped,ThreeQuarters,0,1,15047.8607,.3516,1.1212,1.7181,0
P9,635139907511295225,Normal,Clipped,ThreeQuarters,0,2,14715.8417,7.61,1.9288,1.4244,0
P9,635139907683955101,Normal,Clipped,ThreeQuarters,1,0,14923.8536, ,1.1652,1.3579,0
P9,635139907841954138,Normal,Clipped,ThreeQuarters,1,1,9135.5226,.1668,.7953,1.6073,0
P9,635139908018534238,Normal,Clipped,ThreeQuarters,1,2,15073.8622,.1778,.7527,1.5179,0
P9,635139908203304806,Normal,Clipped,ThreeQuarters,2,0,12082.6911, ,.4809,1.2769,0
P9,635139908326591857,Normal,Clipped,ThreeQuarters,2,1,10567.6044,5.2999,.7873,1.5248,0
P9,635139908472270190,Normal,Clipped,ThreeQuarters,2,2,12735.7285,0,2.3368,1.3976,0
P9,635139909429984968,Normal,Clipped,Half,0,0,20084.1488,9.71,8.7879,1.7978,0
P9,635139909609745250,Normal,Clipped,Half,0,1,16135.923,0,.9663,2.3677,0
P9,635139909755173568,Normal,Clipped,Half,0,2,13694.7833,9.9699,3.2397,1.9528,0
P9,635139909965575602,Normal,Clipped,Half,1,0,9699.5548,.1225,8.1891,1.8331,0
P9,635139910126614813,Normal,Clipped,Half,1,1,9955.5694,.5368,2.7052,2.1842,0
P9,635139910611612553,Normal,Clipped,Half,1,2,22111.2647,.1013,.7287,1.4776,0
P9,635139911255169362,Normal,Clipped,Half,2,0,8831.5051,0,1.2729,1.3972,0
P9,635139911338364121,Normal,Clipped,Half,2,1,7129.4078,.1118,.8767,1.4898,0
P9,635139911480922275,Normal,Clipped,Half,2,2,8850.5062,.1293,.8206,1.3431,0
P9,635139912362722711,Normal,Clipped,Quarter,0,0,18620.065,.2066,8.1058,2.2368,0
P9,635139912523881929,Normal,Clipped,Quarter,0,1,12371.7077,.1847,1.1108,1.3892,2.8999
P9,635139912684321105,Normal,Clipped,Quarter,0,2,12279.7023,3.66,.801,2.1741,0
P9,635139912973357637,Normal,Clipped,Quarter,1,0,27807.5905,.2584,4.9612,2.5811,0
P9,635139913181629550,Normal,Clipped,Quarter,1,1,14714.8417,.1789,.031,2.8405,0
P9,635139913338038496,Normal,Clipped,Quarter,1,2,11002.6293,.189,.3452,2.0929,0
P9,635139913432633906,Normal,Clipped,Quarter,2,0,7948.4546,.1258,1.0809,1.5889,0
P9,635139913567311609,Normal,Clipped,Quarter,2,1,9115.5213,.1781,.8303,1.7649,0
P9,635139913651676435,Normal,Clipped,Quarter,2,2,6592.3771,.1695,2.567,1.9986,0
P10,635140012273229490,Normal,Clipped,ThreeQuarters,0,0,22053.2614,9.2399,.5039,1.3563,0
P10,635140012509493004,Normal,Clipped,ThreeQuarters,0,1,17779.0169,8.4099,2.5448,1.2838,0
P10,635140012705254200,Normal,Clipped,ThreeQuarters,0,2,14311.8185,8.87,1.1597,1.5861,0
P10,635140012906535713,Normal,Clipped,ThreeQuarters,1,0,18284.0458,5.65,1.7579,1.3455,0
P10,635140013119897917,Normal,Clipped,ThreeQuarters,1,1,14887.8516,.1444,1.4159,1.5956,0
P10,635140013316529163,Normal,Clipped,ThreeQuarters,1,2,14978.8567,4.2799,.7541,1.3064,0
P10,635140013423845301,Normal,Clipped,ThreeQuarters,2,0,6815.3898,5.58,2.2315,.5008,.4991
P10,635140013545652268,Normal,Clipped,ThreeQuarters,2,1,6815.3898,7.0099,.7631,1.5107,0
P10,635140013703701308,Normal,Clipped,ThreeQuarters,2,2,13656.7811, ,.7538,1.4703,0
P10,635140014890719202,Normal,Clipped,Half,0,0,12203.698,.1603,.3685,1.7806,0
P10,635140015041797843,Normal,Clipped,Half,0,1,12159.6955,6.3399,1.8285,1.7217,0
P10,635140015204397143,Normal,Clipped,Half,0,2,12455.7124,0,.4078,1.5993,0
P10,635140015358435954,Normal,Clipped,Half,1,0,10954.6266, ,1.0182,1.467,0
P10,635140015503854271,Normal,Clipped,Half,1,1,12341.7059,.158,.9159,1.6453,0
P10,635140015698595410,Normal,Clipped,Half,1,2,16613.9503,5.31,.2544,1.89,0
P10,635140015845033786,Normal,Clipped,Half,2,0,10450.5978,5.8099,.9142,1.8622,0
P10,635140016012553367,Normal,Clipped,Half,2,1,14887.8515,.063,.3261,1.5158,0
P10,635140016176592750,Normal,Clipped,Half,2,2,14383.8227,3.02,.3059,1.5124,0
P10,635140016399865520,Normal,Clipped,Quarter,0,0,11287.6456,9.8299,1.9197,1.8761,0
P10,635140016578465735,Normal,Clipped,Quarter,0,1,13843.7918, ,.2586,1.6537,0
P10,635140016894743826,Normal,Clipped,Quarter,0,2,28439.6267,2.04,1.2299,1.7905,0
P10,635140017058103169,Normal,Clipped,Quarter,1,0,14803.8467,0,.1517,2.5125,0
P10,635140017210381879,Normal,Clipped,Quarter,1,1,13287.76,5.72,1.5079,1.9748,0
P10,635140017343619500,Normal,Clipped,Quarter,1,2,11023.6305,.1164,3.2799,2.2993,0
P10,635140017424064101,Normal,Clipped,Quarter,2,0,5904.3377,.1331,5.9588,4.1158,0
P10,635140017533620367,Normal,Clipped,Quarter,2,1,5904.3377,.1004,4.6614,2.3271,0
P10,635140017687859189,Normal,Clipped,Quarter,2,2,12759.7298,9.2299,3.3045,2.3317,0
P11,635145999028712023,Normal,Clipped,Quarter,0,1,21431.2258,.04,.13,2.387,0
P11,635145999132187942,Normal,Clipped,Quarter,0,2,9371.5361,9.3399,1.0324,2.4087,0
P11,635145999297387390,Normal,Clipped,Quarter,1,0,15294.8748,.1958,.1719,1.9801,0
P11,635145999485988178,Normal,Clipped,Quarter,1,1,17975.0281,.113,4.2672,2.1246,0
P11,635145999663428327,Normal,Clipped,Quarter,1,2,16651.9525,0,.5483,1.8923,0
P11,635145999876150494,Normal,Clipped,Quarter,2,0,19932.1401,2.96,.1948,1.8755,0
P11,635146000046070213,Normal,Clipped,Quarter,2,1,15591.8918,6.4399,.6982,1.7923,0
P11,635146000201349094,Normal,Clipped,Quarter,2,2,13331.7625,7.5499,1.5657,2.2284,0
P11,635146000528617813,Normal,Clipped,ThreeQuarters,0,0,30850.7646,.3135,1.0989,1.8066,0
P11,635146000783542394,Normal,Clipped,ThreeQuarters,0,1,24427.3972, ,2.5817,1.4041,0
